step,effective_group_ratio,gold,grad_norm,kl,learning_rate,memory_gib,optimizer_updated,orm,response_length,step_seconds
1.0,1.0,0.25,0.569581151008606,0.005659324437147006,1.111111111111111e-07,36.23133945465088,1.0,0.03125,5308.75,80.14545262046158
2.0,1.0,0.0,0.3697437047958374,0.006448663873015903,2.222222222222222e-07,52.840980529785156,1.0,-0.0625,8242.0,117.50335292331874
3.0,0.3333333333333333,0.25,0.21874003112316132,0.006800892122555524,3.333333333333333e-07,52.840980529785156,1.0,0.12946428571428573,6978.0,90.73163471184671
4.0,1.0,0.0,0.43310365080833435,0.004802051465958357,4.444444444444444e-07,52.840980529785156,1.0,-0.03125,4643.875,75.67595952190459
5.0,0.5,0.125,0.24775658547878265,0.005172041157493368,5.555555555555555e-07,52.840980529785156,1.0,0.0,5233.25,75.08539780788124
6.0,1.0,0.5,0.5042073726654053,0.006142862868728116,6.666666666666666e-07,52.840980529785156,1.0,0.46875,5936.375,82.96521906740963
7.0,1.0,0.25,0.3343118131160736,0.0049190093704964966,7.777777777777778e-07,52.840980529785156,1.0,0.234375,7860.0,98.80075451359153
8.0,1.0,0.5,0.3594566285610199,0.006653172255028039,8.888888888888888e-07,52.840980529785156,1.0,0.46875,4583.0,71.0577041413635
9.0,1.0,0.375,0.4392799735069275,0.004747633618535474,1e-06,52.840980529785156,1.0,0.525,4188.5,68.02979138493538
10.0,0.5,0.125,0.3012879192829132,0.005089636164484546,1e-06,52.840980529785156,1.0,0.125,3366.75,60.63655287027359
11.0,0.5,0.125,0.2692372798919678,0.004666647873818874,1e-06,52.840980529785156,1.0,0.1875,6738.5,96.39903720840812
12.0,0.5,0.375,0.4024841785430908,0.004591612727381289,1e-06,52.840980529785156,1.0,0.46875,5549.375,80.7767217066139
13.0,1.0,0.375,0.3657849431037903,0.005265978164970875,1e-06,52.840980529785156,1.0,0.1875,10014.0,120.16070341132581
14.0,0.5,0.125,0.39503440260887146,0.0047989150625653565,1e-06,52.840980529785156,1.0,0.03125,5244.0,74.69960245862603
15.0,0.3333333333333333,0.375,0.2902606427669525,0.004665674903662875,1e-06,52.840980529785156,1.0,0.375,3399.5,62.295902483165264
16.0,1.0,0.5,0.4179335832595825,0.007686844415729865,1e-06,52.840980529785156,1.0,0.5,6332.125,91.70800665207207
17.0,0.5,0.125,0.29355543851852417,0.006340451742289588,1e-06,52.840980529785156,1.0,0.09375,5957.875,86.49918427690864
18.0,0.3333333333333333,0.0,0.18475526571273804,0.0034948286920553073,1e-06,52.840980529785156,1.0,0.0,3941.375,66.50666159950197
19.0,1.0,0.75,0.5139544606208801,0.005626957630738616,1e-06,52.840980529785156,1.0,0.71875,4317.125,69.54451429098845
20.0,1.0,0.0,0.30030667781829834,0.00729955019778572,1e-06,52.840980529785156,1.0,-0.0625,6051.0,83.46019566431642
21.0,0.5,0.0,0.3779756724834442,0.008893536607502028,1e-06,52.840980529785156,1.0,0.09375,3491.0,62.98011115565896
22.0,1.0,0.375,0.5580833554267883,0.00731907895533368,1e-06,52.840980529785156,1.0,0.3125,5600.125,79.72914951853454
23.0,0.5,0.375,0.2860446572303772,0.004952759176376276,1e-06,52.840980529785156,1.0,0.38839285714285715,3915.375,67.94195884279907
24.0,0.16666666666666666,,,,,,0.0,,,
25.0,0.5,0.5,0.5459126234054565,0.004694369912613183,1e-06,52.840980529785156,1.0,0.5,2849.625,82.85396822728217
26.0,1.0,0.375,0.33598339557647705,0.006402078812243417,1e-06,52.840980529785156,1.0,0.375,4350.25,69.02172741107643
27.0,0.5,0.0,0.26660946011543274,0.003712910693138838,1e-06,52.840980529785156,1.0,-0.03125,6962.125,100.95771056041121
28.0,0.3333333333333333,0.375,0.3695673644542694,0.004841633082833141,1e-06,52.840980529785156,1.0,0.34375,5660.75,83.45923245325685
29.0,1.0,0.0,0.3501834571361542,0.004438328003743663,1e-06,52.840980529785156,1.0,-0.09375,9322.625,114.1705500818789
30.0,1.0,0.0,0.3720431327819824,0.006503072567284107,1e-06,52.840980529785156,1.0,-0.15625,10411.0,127.93259863741696
31.0,1.0,0.25,0.4289984703063965,0.004954103205818683,1e-06,52.840980529785156,1.0,0.25,4840.875,75.10644520446658
32.0,1.0,0.0,0.30806538462638855,0.003675313520943746,1e-06,52.840980529785156,1.0,-0.03125,4471.5,71.13437166810036
33.0,1.0,0.0,0.4532710313796997,0.0025357185950269923,1e-06,52.840980529785156,1.0,0.0,4496.875,71.31729309633374
34.0,1.0,0.75,0.7819887399673462,0.006175946909934282,1e-06,52.840980529785156,1.0,0.71875,3248.25,62.0326408110559
35.0,1.0,0.125,0.279758483171463,0.004154763009864837,1e-06,52.840980529785156,1.0,0.09375,6157.625,95.90905805677176
36.0,0.5,0.5,0.40550652146339417,0.004487308586249128,1e-06,52.840980529785156,1.0,0.5,8051.125,98.76036124676466
37.0,1.0,0.375,0.42556434869766235,0.008127154898829758,1e-06,52.840980529785156,1.0,0.34375,5124.625,76.89015381038189
38.0,0.5,0.375,0.9478417634963989,0.005064541721367277,1e-06,52.840980529785156,1.0,0.375,4915.25,75.21920122765005
39.0,0.3333333333333333,0.25,0.2935469150543213,0.0031844695331528783,1e-06,52.840980529785156,1.0,0.1875,3757.375,65.08611769229174
40.0,0.5,0.375,0.6959390640258789,0.006052929733414203,1e-06,52.840980529785156,1.0,0.375,3971.25,71.17825156450272
41.0,0.16666666666666666,,,,,,0.0,,,
42.0,1.0,0.375,0.3494914174079895,0.004204239492537454,1e-06,52.840980529785156,1.0,0.3229166666666667,10486.125,132.46088467165828
43.0,0.5,0.5,0.473733127117157,0.003602242737542838,1e-06,52.840980529785156,1.0,0.5,6434.875,87.02152718417346
44.0,0.5,0.5,0.4617796242237091,0.00973249415983446,1e-06,52.840980529785156,1.0,0.46875,3085.375,60.44002305530012
45.0,1.0,0.375,0.32973191142082214,0.005840355239342898,1e-06,52.840980529785156,1.0,0.40625,8661.375,111.40913112089038
46.0,1.0,0.25,0.34489157795906067,0.004699111043009907,1e-06,52.840980529785156,1.0,0.21875,4381.875,69.24332310259342
47.0,0.5,0.0,0.3253573775291443,0.0051041241677012295,1e-06,52.840980529785156,1.0,-0.15,7596.375,96.44184565357864
48.0,0.5,0.375,0.36595070362091064,0.004567684081848711,1e-06,52.840980529785156,1.0,0.34375,5341.625,85.98752552084625
49.0,0.5,0.0,0.23519085347652435,0.004204588854918256,1e-06,52.840980529785156,1.0,0.0625,4165.625,67.67296838760376
50.0,1.0,0.0,0.3585169017314911,0.005399011279223487,1e-06,52.840980529785156,1.0,-0.03125,8719.875,127.30428578145802
51.0,0.5,0.0,0.2723691463470459,0.005374378350097686,1e-06,52.840980529785156,1.0,-0.15625,4762.75,85.644859213382
52.0,0.5,0.25,0.33407291769981384,0.003435189079027623,1e-06,52.840980529785156,1.0,0.21875,9859.125,141.45151206105947
53.0,1.0,0.375,0.3453170657157898,0.0037237844080664217,1e-06,52.840980529785156,1.0,0.34375,6171.5,101.47968166321516
